AgeGroup,State,Income,NeedsPct,WantsPct,SavingsPct,DebtLoad,PersonaLabel
22-28,Bihar,233873,49,36,15,12,anjali
29-39,Maharashtra,135143,41,25,34,2,madhavi
22-28,Karnataka,187921,13,-1,88,0,popatlal
40-60,Delhi,189894,44,29,27,1,iyer
60+,UP,226520,34,11,55,0,bhide
22-28,Karnataka,94452,35,53,12,3,bagha
18-22,Maharashtra,273853,32,34,34,13,tapu
29-39,Goa,225391,44,23,33,7,anjali
22-28,Goa,275392,47,37,16,8,bagha
29-39,Kerala,130298,43,37,20,3,madhavi
29-39,UP,71890,48,27,25,3,komal
40-60,Rajasthan,242075,78,17,5,18,abdul
29-39,Kerala,262495,47,32,21,12,bagha
29-39,Delhi,73138,11,7,82,0,popatlal
40-60,Delhi,214619,30,42,28,3,roshan
29-39,Goa,253299,40,21,39,15,champaklal
18-22,Kerala,278455,10,13,77,0,popatlal
40-60,UP,97948,36,51,13,6,anjali
40-60,Kerala,68538,45,42,13,11,tapu
29-39,Goa,260286,37,59,4,70,jethalal
18-22,Maharashtra,127082,32,32,36,15,champaklal
60+,Kerala,213971,38,29,33,14,roshan
40-60,UP,55434,32,28,40,8,bagha
40-60,Maharashtra,226824,30,58,12,12,tapu
40-60,Karnataka,239507,43,61,-4,48,jethalal
18-22,Maharashtra,297914,46,25,29,0,anjali
40-60,Karnataka,69995,37,51,12,4,daya
40-60,Delhi,73629,42,37,21,8,sodhi
18-22,Bihar,255631,40,3,57,0,bhide
22-28,Bihar,245599,47,21,32,1,tapu
29-39,Delhi,241452,41,41,18,12,iyer
40-60,Bihar,255790,32,28,40,1,daya
22-28,Maharashtra,279915,44,39,17,7,iyer
22-28,UP,111270,23,-7,84,0,popatlal
29-39,Bihar,126068,42,47,11,3,iyer
22-28,Rajasthan,258442,46,23,31,5,mehta
29-39,UP,194184,33,51,16,3,iyer
18-22,UP,128699,72,22,6,1,abdul
60+,Rajasthan,139976,42,26,32,7,sodhi
18-22,Delhi,59728,85,6,9,8,abdul
60+,Goa,266033,37,29,34,7,komal
40-60,Bihar,157862,30,34,36,14,anjali
22-28,Rajasthan,286546,40,33,27,9,madhavi
60+,Karnataka,76533,23,65,12,17,babita
29-39,Kerala,287906,33,38,29,13,bagha
18-22,UP,193778,35,28,37,11,madhavi
40-60,Kerala,188975,24,57,19,22,babita
40-60,Rajasthan,225652,41,46,13,7,champaklal
18-22,Kerala,191641,44,28,28,5,daya
18-22,Goa,40996,39,23,38,13,mehta
18-22,Maharashtra,188420,49,38,13,10,madhavi
18-22,Kerala,110068,28,59,13,23,babita
18-22,Bihar,49058,44,41,15,7,sodhi
22-28,Rajasthan,245645,38,22,40,14,mehta
18-22,Rajasthan,272832,45,20,35,14,iyer
60+,Delhi,235636,45,43,12,8,anjali
60+,Rajasthan,72657,23,-12,89,0,popatlal
40-60,Bihar,200522,47,20,33,11,iyer
29-39,Karnataka,57479,50,10,40,2,madhavi
22-28,Goa,31734,35,37,28,8,roshan
60+,Kerala,260473,84,12,4,9,abdul
22-28,Karnataka,240968,11,18,71,0,popatlal
22-28,Kerala,129154,50,19,31,3,daya
22-28,Bihar,190207,39,49,12,12,roshan
29-39,Rajasthan,276399,50,17,33,4,madhavi
40-60,Rajasthan,68254,24,67,9,13,babita
40-60,Kerala,237723,34,41,25,9,madhavi
29-39,UP,246504,40,33,27,7,komal
22-28,Karnataka,65133,38,30,32,2,champaklal
40-60,UP,254696,81,9,10,2,abdul
18-22,UP,151336,40,44,16,1,champaklal
18-22,Rajasthan,63254,27,69,4,28,babita
29-39,Kerala,167383,44,25,31,9,champaklal
29-39,Karnataka,45444,78,13,9,7,abdul
18-22,Bihar,187896,34,57,9,68,jethalal
22-28,UP,212973,39,43,18,12,bagha
40-60,Rajasthan,187438,21,-3,82,0,popatlal
40-60,Karnataka,128828,32,47,21,3,iyer
40-60,Goa,261141,44,41,15,15,sodhi
29-39,Goa,140136,39,33,28,9,daya
40-60,Maharashtra,202120,12,8,80,0,popatlal
22-28,Goa,96128,85,9,6,6,abdul
60+,Delhi,167843,33,18,49,0,bhide
29-39,Rajasthan,56761,70,21,9,8,abdul
60+,Karnataka,53042,36,33,31,9,anjali
22-28,Delhi,248832,41,23,36,2,daya
18-22,Goa,239370,24,-9,85,0,popatlal
29-39,Delhi,62991,36,43,21,5,anjali
29-39,UP,75195,39,46,15,6,anjali
29-39,Rajasthan,81790,36,34,30,5,iyer
18-22,Delhi,188839,31,35,34,8,sodhi
29-39,Karnataka,297813,32,56,12,15,madhavi
22-28,Goa,275540,58,42,0,61,jethalal
60+,Karnataka,53115,43,21,36,13,anjali
29-39,Goa,181436,30,64,6,10,babita
18-22,Delhi,266173,35,44,21,15,roshan
29-39,UP,30988,41,25,34,15,anjali
60+,Delhi,162318,47,27,26,0,mehta
60+,Bihar,201714,36,17,47,0,bhide
60+,Kerala,105505,32,51,17,7,iyer
60+,Goa,222158,37,25,38,3,tapu
22-28,Bihar,146565,38,43,19,0,tapu
60+,Bihar,84221,18,5,77,0,popatlal
40-60,Kerala,56138,34,45,21,3,tapu
18-22,Kerala,141180,34,31,35,6,anjali
18-22,Bihar,143587,25,-13,88,0,popatlal
29-39,Karnataka,216204,40,51,9,55,jethalal
60+,Goa,283232,45,36,19,8,bagha
18-22,Maharashtra,261640,33,49,18,15,tapu
18-22,Delhi,70585,54,40,6,73,jethalal
40-60,Bihar,280590,25,53,22,17,babita
22-28,Kerala,86357,25,61,14,15,babita
29-39,Rajasthan,270142,37,51,12,15,bagha
40-60,Kerala,251653,48,25,27,8,mehta
29-39,Maharashtra,299307,21,-11,90,0,popatlal
40-60,Maharashtra,171808,88,2,10,12,abdul
60+,Goa,168503,43,37,20,11,tapu
40-60,UP,74197,49,21,30,8,champaklal
29-39,Maharashtra,164210,43,18,39,8,komal
18-22,UP,135602,49,28,23,2,iyer
60+,Bihar,298001,34,51,15,8,komal
60+,Kerala,225962,33,44,23,11,daya
40-60,Delhi,237748,32,52,16,0,daya
60+,Delhi,235096,36,41,23,3,tapu
60+,Bihar,96888,19,1,80,0,popatlal
29-39,Delhi,109648,50,14,36,11,iyer
40-60,Karnataka,236208,37,53,10,78,jethalal
40-60,Delhi,235476,34,53,13,1,bagha
18-22,Rajasthan,160068,45,33,22,6,komal
60+,Goa,172981,25,66,9,29,babita
40-60,Kerala,253571,46,17,37,15,champaklal
29-39,Karnataka,116517,43,19,38,12,sodhi
29-39,Rajasthan,111658,43,37,20,2,madhavi
18-22,Maharashtra,113263,36,25,39,3,anjali
60+,Bihar,180658,49,22,29,11,roshan
29-39,Maharashtra,284752,31,59,10,14,roshan
40-60,Maharashtra,178222,89,3,8,1,abdul
22-28,Kerala,208417,30,35,35,13,daya
60+,UP,291758,31,41,28,2,iyer
18-22,Goa,32318,37,9,54,0,bhide
60+,Delhi,273444,42,27,31,6,mehta
29-39,Delhi,38511,40,21,39,14,iyer
29-39,Rajasthan,285188,19,1,80,0,popatlal
60+,Goa,293450,48,15,37,9,daya
22-28,UP,47453,21,0,79,0,popatlal
40-60,Delhi,288105,36,53,11,14,anjali
29-39,Karnataka,168122,30,45,25,4,daya
22-28,Goa,142512,43,31,26,4,champaklal
29-39,Bihar,188833,74,20,6,2,abdul
29-39,Karnataka,99829,27,60,13,22,babita
18-22,Delhi,163148,45,60,-5,40,jethalal
40-60,UP,265552,33,49,18,7,bagha
29-39,Karnataka,108530,57,48,-5,43,jethalal
18-22,Rajasthan,66701,42,23,35,14,anjali
60+,UP,30088,49,18,33,1,iyer
18-22,Goa,103055,45,41,14,10,iyer
40-60,Delhi,83465,45,44,11,14,bagha
60+,Delhi,104639,73,20,7,10,abdul
29-39,UP,140387,26,56,18,16,babita
22-28,Karnataka,214326,49,39,12,9,champaklal
60+,Delhi,228584,35,42,23,2,anjali
40-60,UP,49258,38,39,23,4,komal
40-60,Delhi,253148,43,47,10,4,daya
40-60,Goa,46017,45,35,20,3,champaklal
60+,Kerala,214668,35,40,25,10,madhavi
18-22,Goa,71133,39,49,12,15,komal
22-28,Maharashtra,159365,90,7,3,13,abdul
29-39,UP,126475,38,32,30,9,bagha
60+,Rajasthan,243381,33,17,50,0,bhide
29-39,Delhi,214664,49,40,11,13,iyer
22-28,Bihar,56542,25,51,24,13,babita
40-60,Bihar,260687,34,53,13,7,tapu
29-39,UP,142459,48,34,18,9,mehta
60+,Goa,148646,30,36,34,15,madhavi
18-22,Maharashtra,290738,32,52,16,2,anjali
22-28,Goa,96264,23,-6,83,0,popatlal
60+,Maharashtra,285824,44,41,15,8,mehta
40-60,Karnataka,249592,41,22,37,7,bagha
40-60,Kerala,81202,42,39,19,12,bagha
18-22,UP,198791,45,27,28,9,iyer
29-39,Karnataka,268456,45,51,4,59,jethalal
60+,Maharashtra,178591,45,19,36,6,komal
29-39,Goa,261622,30,20,50,0,bhide
22-28,UP,161481,36,42,22,3,iyer
40-60,Karnataka,122351,43,27,30,1,iyer
18-22,Kerala,69645,15,14,71,0,popatlal
60+,Maharashtra,138794,35,35,30,1,daya
22-28,Rajasthan,257040,43,32,25,3,bagha
60+,Maharashtra,107090,33,48,19,13,madhavi
60+,Maharashtra,270002,87,11,2,1,abdul
18-22,Rajasthan,113567,42,39,19,12,iyer
40-60,Kerala,160850,39,49,12,13,champaklal
18-22,Bihar,241726,44,41,15,0,roshan
18-22,Delhi,158783,71,25,4,12,abdul
40-60,Maharashtra,223067,38,44,18,13,anjali
29-39,Bihar,177145,50,34,16,14,komal
18-22,Delhi,83324,44,18,38,9,daya
22-28,Karnataka,89360,84,7,9,0,abdul
22-28,UP,100347,20,-6,86,0,popatlal
40-60,Delhi,56116,47,36,17,14,mehta
60+,UP,42766,10,5,85,0,popatlal
29-39,Bihar,212926,37,33,30,12,anjali
22-28,Kerala,200595,45,38,17,3,komal
22-28,Bihar,268309,32,28,40,13,sodhi
60+,Maharashtra,248276,42,42,16,10,sodhi
18-22,Rajasthan,109827,48,37,15,3,anjali
29-39,Kerala,240756,30,23,47,0,bhide
22-28,Bihar,40529,11,0,89,0,popatlal
22-28,Karnataka,71509,83,15,2,11,abdul
29-39,Rajasthan,103183,39,43,18,3,bagha
18-22,Karnataka,195662,49,15,36,10,tapu
60+,Karnataka,65101,49,22,29,14,anjali
18-22,Karnataka,88439,34,20,46,0,bhide
22-28,Bihar,63224,45,32,23,5,bagha
40-60,Delhi,146623,37,10,53,0,bhide
60+,Karnataka,158701,33,39,28,9,tapu
60+,Delhi,84929,36,33,31,7,mehta
40-60,Kerala,165130,27,62,11,18,babita
18-22,Rajasthan,117151,35,54,11,15,komal
18-22,Kerala,254458,41,22,37,9,champaklal
22-28,Kerala,201393,43,32,25,12,daya
18-22,Kerala,154603,10,3,87,0,popatlal
22-28,Rajasthan,278645,37,35,28,11,iyer
29-39,Karnataka,173024,21,-2,81,0,popatlal
29-39,Kerala,224246,79,15,6,14,abdul
29-39,Delhi,212349,44,33,23,0,bagha
18-22,Maharashtra,218177,36,53,11,12,roshan
22-28,Karnataka,274172,34,6,60,0,bhide
18-22,Rajasthan,197867,35,32,33,11,tapu
18-22,UP,190794,47,30,23,5,anjali
18-22,Maharashtra,62969,32,56,12,0,roshan
22-28,Goa,239248,38,24,38,6,tapu
22-28,Goa,256967,44,26,30,5,champaklal
40-60,Kerala,268694,42,27,31,5,roshan
29-39,Maharashtra,196115,44,27,29,6,daya
29-39,Bihar,68648,44,18,38,5,komal
40-60,Bihar,252820,49,30,21,10,iyer
60+,Bihar,277109,34,27,39,4,champaklal
29-39,Karnataka,85282,38,30,32,8,mehta
29-39,Kerala,34395,44,22,34,13,bagha
18-22,Karnataka,75336,34,26,40,14,sodhi
40-60,UP,143510,46,31,23,2,sodhi
29-39,Rajasthan,195082,35,41,24,7,anjali
60+,Maharashtra,49585,37,48,15,5,anjali
22-28,Rajasthan,100467,30,68,2,28,babita
40-60,Goa,227922,24,6,70,0,popatlal
60+,Kerala,289498,36,51,13,6,roshan
40-60,Kerala,112555,16,2,82,0,popatlal
22-28,Delhi,199946,39,16,45,0,bhide
60+,Rajasthan,184207,10,13,77,0,popatlal
40-60,Rajasthan,97875,35,39,26,6,tapu
60+,Maharashtra,252950,87,7,6,15,abdul
29-39,Kerala,177520,35,33,32,11,mehta
40-60,UP,71691,19,1,80,0,popatlal
60+,Delhi,61518,34,39,27,7,madhavi
22-28,Maharashtra,260056,31,54,15,5,mehta
60+,Karnataka,274203,43,36,21,10,champaklal
40-60,Rajasthan,105987,40,29,31,2,sodhi
18-22,Goa,251949,41,29,30,5,anjali
22-28,Delhi,239215,42,28,30,2,madhavi
22-28,Delhi,217489,25,-5,80,0,popatlal
18-22,Kerala,293321,37,33,30,12,roshan
22-28,UP,195323,43,29,28,3,bagha
29-39,Karnataka,129750,45,43,12,15,sodhi
29-39,Bihar,39124,40,20,40,9,roshan
18-22,Bihar,241334,24,60,16,21,babita
22-28,Goa,173241,48,33,19,13,madhavi
18-22,UP,48144,24,4,72,0,popatlal
40-60,Goa,80124,75,16,9,9,abdul
22-28,Karnataka,230431,30,49,21,14,komal
18-22,Karnataka,218372,41,33,26,12,mehta
60+,Maharashtra,49119,34,6,60,0,bhide
18-22,Delhi,92744,31,9,60,0,bhide
60+,Rajasthan,299562,48,40,12,5,komal
18-22,Maharashtra,205038,34,55,11,7,champaklal
29-39,Kerala,75460,25,51,24,22,babita
18-22,Delhi,219914,34,30,36,15,daya
22-28,Goa,133462,44,39,17,0,madhavi
22-28,UP,40992,48,37,15,14,daya
40-60,UP,97013,82,18,0,6,abdul
18-22,Kerala,115207,43,35,22,4,anjali
40-60,UP,148257,36,32,32,5,tapu
18-22,Goa,249510,25,-12,87,0,popatlal
60+,Delhi,260605,50,35,15,13,sodhi
18-22,Goa,272642,34,38,28,13,komal
18-22,Kerala,138114,42,24,34,8,komal
29-39,Bihar,299554,31,48,21,5,sodhi
22-28,Delhi,274329,32,30,38,0,champaklal
22-28,Rajasthan,124447,41,34,25,13,roshan
29-39,Delhi,190918,31,37,32,15,tapu
40-60,Bihar,243502,38,9,53,0,bhide
40-60,Delhi,138185,23,-8,85,0,popatlal
29-39,Kerala,35121,50,39,11,2,champaklal
40-60,Goa,217015,36,42,22,3,iyer
40-60,Rajasthan,112692,30,47,23,4,komal
40-60,Bihar,288725,21,-4,83,0,popatlal
60+,Maharashtra,114380,40,33,27,13,champaklal
60+,Maharashtra,292490,31,13,56,0,bhide
29-39,Goa,217445,32,21,47,0,bhide
29-39,Delhi,197654,38,32,30,7,roshan
60+,Kerala,200388,30,60,10,13,bagha
60+,Kerala,215216,40,0,60,0,bhide
18-22,UP,69438,39,33,28,14,komal
60+,UP,32254,44,38,18,2,champaklal
60+,UP,199431,40,10,50,0,bhide
18-22,Rajasthan,58338,43,35,22,7,mehta
18-22,UP,102297,22,-3,81,0,popatlal
40-60,Maharashtra,266096,29,59,12,16,babita
40-60,UP,274564,38,25,37,4,madhavi
40-60,Rajasthan,209092,23,3,74,0,popatlal
60+,Maharashtra,224319,45,45,10,14,madhavi
29-39,Kerala,131272,46,16,38,10,daya
18-22,Delhi,119604,53,48,-1,76,jethalal
60+,Goa,243290,34,40,26,7,champaklal
29-39,Maharashtra,185308,35,32,33,15,mehta
29-39,Karnataka,201515,74,21,5,8,abdul
22-28,Kerala,61527,35,5,60,0,bhide
22-28,UP,64997,33,31,36,9,champaklal
29-39,UP,191015,37,49,14,13,mehta
60+,Kerala,275383,36,49,15,15,bagha
40-60,Kerala,281582,33,50,17,13,tapu
40-60,Goa,177294,31,59,10,14,madhavi
60+,Delhi,190619,36,35,29,4,madhavi
29-39,UP,196493,23,64,13,21,babita
60+,Rajasthan,174901,31,20,49,0,bhide
29-39,Rajasthan,64151,50,20,30,3,komal
22-28,Karnataka,151314,49,23,28,12,champaklal
40-60,Bihar,279742,31,31,38,6,mehta
29-39,Karnataka,133247,47,14,39,6,bagha
29-39,Goa,215621,36,52,12,0,iyer
60+,Delhi,202896,30,39,31,13,daya
29-39,Karnataka,196064,32,38,30,11,roshan
18-22,Delhi,66562,80,18,2,5,abdul
40-60,Kerala,291587,50,29,21,1,mehta
22-28,Rajasthan,219099,31,57,12,11,iyer
22-28,Maharashtra,248324,33,59,8,78,jethalal
22-28,Goa,31160,39,50,11,0,daya
18-22,UP,162878,47,38,15,10,tapu
22-28,Goa,53467,46,38,16,1,sodhi
22-28,Goa,199238,44,39,17,2,sodhi
40-60,Rajasthan,134264,44,39,17,14,sodhi
60+,Karnataka,137827,45,36,19,2,bagha
22-28,Karnataka,133210,49,53,-2,49,jethalal
29-39,Maharashtra,298922,48,28,24,5,madhavi
22-28,Kerala,63710,47,22,31,0,champaklal
22-28,Karnataka,208709,36,26,38,15,champaklal
18-22,Karnataka,96469,43,27,30,13,anjali
29-39,Karnataka,80786,49,15,36,0,anjali
40-60,Karnataka,147078,13,15,72,0,popatlal
22-28,Maharashtra,217238,26,56,18,24,babita
22-28,Karnataka,216352,46,34,20,14,sodhi
29-39,Maharashtra,188017,32,31,37,14,daya
18-22,Maharashtra,77336,44,36,20,7,bagha
40-60,Maharashtra,218571,81,13,6,6,abdul
18-22,Delhi,276035,46,52,2,50,jethalal
60+,Kerala,66280,89,2,9,2,abdul
40-60,Bihar,108220,32,54,14,13,bagha
29-39,Bihar,251075,41,49,10,13,komal
29-39,Goa,202339,40,21,39,15,iyer
60+,Rajasthan,199056,46,54,0,74,jethalal
22-28,Karnataka,186955,46,44,10,11,sodhi
60+,Kerala,168619,22,-9,87,0,popatlal
40-60,Goa,297127,31,58,11,15,bagha
40-60,Bihar,97026,27,50,23,18,babita
18-22,Bihar,105435,46,41,13,9,tapu
60+,Bihar,185348,40,26,34,9,komal
18-22,Rajasthan,147906,46,19,35,12,bagha
22-28,Rajasthan,241311,43,21,36,11,tapu
18-22,Maharashtra,140773,42,19,39,15,madhavi
40-60,Rajasthan,172021,47,43,10,10,champaklal
22-28,Kerala,257463,72,27,1,2,abdul
60+,Kerala,156072,90,6,4,2,abdul
18-22,Delhi,271970,45,25,30,12,champaklal
40-60,UP,96766,42,46,12,11,daya
40-60,Bihar,173427,35,53,12,10,komal
18-22,Karnataka,55785,37,51,12,8,komal
60+,Goa,206417,44,25,31,2,bagha
40-60,Maharashtra,268512,44,20,36,3,bagha
22-28,Goa,214869,72,20,8,17,abdul
60+,Kerala,262059,28,67,5,29,babita
22-28,Maharashtra,68385,73,22,5,10,abdul
60+,Delhi,86108,31,44,25,10,iyer
18-22,Maharashtra,215079,50,15,35,15,champaklal
29-39,Bihar,295048,47,47,6,76,jethalal
22-28,Goa,266061,11,5,84,0,popatlal
29-39,Goa,127613,50,23,27,6,mehta
22-28,Bihar,146875,27,56,17,23,babita
60+,Karnataka,116093,19,-6,87,0,popatlal
18-22,UP,268978,21,61,18,24,babita
18-22,Delhi,80749,60,40,0,62,jethalal
60+,UP,98652,46,36,18,15,madhavi
60+,Kerala,280076,48,17,35,15,komal
40-60,Maharashtra,240559,37,48,15,7,madhavi
60+,Maharashtra,79112,32,37,31,4,champaklal
22-28,Kerala,106039,32,49,19,12,komal
22-28,Goa,285456,16,2,82,0,popatlal
18-22,Delhi,209591,50,30,20,4,sodhi
18-22,Maharashtra,258744,33,36,31,14,champaklal
40-60,Goa,253348,32,33,35,4,madhavi
40-60,Bihar,75175,37,57,6,67,jethalal
29-39,Kerala,261868,35,51,14,14,roshan
40-60,UP,107525,40,32,28,4,tapu
22-28,Goa,258174,31,59,10,62,jethalal
40-60,Karnataka,38511,35,16,49,0,bhide
29-39,Maharashtra,208375,47,18,35,14,tapu
60+,Kerala,290565,30,68,2,22,babita
60+,Kerala,113368,39,27,34,9,champaklal
18-22,Goa,253215,39,29,32,4,champaklal
29-39,Goa,176950,32,40,28,4,daya
22-28,Goa,248476,48,55,-3,56,jethalal
60+,Rajasthan,87493,24,55,21,24,babita
29-39,Maharashtra,132713,33,39,28,10,komal
60+,Rajasthan,52044,47,34,19,7,komal
29-39,UP,60171,36,19,45,0,bhide
29-39,Bihar,94587,45,23,32,8,madhavi
60+,Goa,298756,33,29,38,5,roshan
18-22,Goa,237651,30,18,52,0,bhide
60+,UP,80000,47,26,27,15,komal
18-22,UP,190951,33,57,10,14,madhavi
40-60,Kerala,88967,34,13,53,0,bhide
40-60,Delhi,153553,30,57,13,20,babita
40-60,UP,179169,38,9,53,0,bhide
22-28,Goa,87878,49,21,30,4,mehta
60+,UP,71958,33,51,16,8,iyer
60+,Rajasthan,100067,31,36,33,12,komal
18-22,Goa,292662,36,48,16,2,madhavi
60+,Rajasthan,86840,44,33,23,0,bagha
29-39,Delhi,46186,48,20,32,1,iyer
60+,Karnataka,31318,27,70,3,14,babita
60+,Delhi,172809,31,57,12,7,komal
60+,Karnataka,295643,84,7,9,7,abdul
18-22,Bihar,63328,38,31,31,0,sodhi
40-60,Rajasthan,54849,31,47,22,9,tapu
29-39,UP,286936,33,13,54,0,bhide
18-22,Karnataka,277997,36,48,16,13,daya
22-28,Delhi,273120,46,39,15,3,anjali
60+,Goa,207991,19,-1,82,0,popatlal
60+,Goa,214637,39,21,40,5,komal
18-22,Rajasthan,81223,43,17,40,6,tapu
22-28,Bihar,138810,21,70,9,18,babita
18-22,Karnataka,292207,35,47,18,11,komal
18-22,Kerala,131962,32,33,35,4,anjali
40-60,Maharashtra,184367,43,34,23,6,komal
60+,Goa,104012,47,32,21,12,champaklal
18-22,UP,142587,48,20,32,5,bagha
40-60,Goa,123540,34,27,39,9,iyer
40-60,Rajasthan,202424,43,47,10,10,bagha
29-39,Rajasthan,107030,54,49,-3,51,jethalal
22-28,Kerala,209076,42,35,23,10,iyer
60+,UP,187040,36,42,22,8,roshan
22-28,Maharashtra,39017,35,38,27,6,sodhi
22-28,Delhi,247185,37,25,38,0,tapu
18-22,Kerala,203426,42,35,23,2,komal
22-28,Maharashtra,294250,43,27,30,2,champaklal
29-39,UP,234906,49,18,33,5,roshan
29-39,Delhi,287724,73,20,7,0,abdul
40-60,Rajasthan,112601,43,44,13,0,daya
40-60,Rajasthan,44059,33,28,39,6,daya
29-39,Kerala,63123,33,47,20,3,daya
29-39,Kerala,262135,45,30,25,15,champaklal
18-22,Maharashtra,289092,30,52,18,14,roshan
18-22,UP,192083,28,56,16,15,babita
18-22,Rajasthan,97058,37,28,35,12,daya
22-28,Delhi,31872,44,28,28,5,mehta
40-60,Goa,101105,28,58,14,27,babita
29-39,Bihar,158720,49,20,31,4,sodhi
60+,Karnataka,32416,35,14,51,0,bhide
29-39,Goa,219841,33,27,40,15,komal
29-39,Karnataka,86271,49,25,26,11,sodhi
40-60,Rajasthan,165293,30,55,15,5,roshan
29-39,Kerala,279373,14,10,76,0,popatlal
22-28,Karnataka,271181,36,50,14,2,tapu
60+,Bihar,60299,88,5,7,7,abdul
40-60,Goa,84258,40,23,37,8,mehta
40-60,Rajasthan,267028,50,19,31,6,anjali
40-60,Delhi,66724,42,34,24,6,sodhi
18-22,Rajasthan,91176,34,40,26,0,sodhi
18-22,UP,58297,39,51,10,1,iyer
60+,Rajasthan,52428,39,25,36,15,iyer
18-22,Rajasthan,284669,44,43,13,3,komal
18-22,Rajasthan,163796,50,10,40,2,iyer
60+,Maharashtra,176286,32,39,29,9,tapu
22-28,Karnataka,114776,46,21,33,2,iyer
18-22,Maharashtra,70995,46,22,32,6,sodhi
29-39,Rajasthan,289030,34,13,53,0,bhide
18-22,Bihar,289941,37,39,24,6,iyer
22-28,Goa,174990,46,41,13,2,sodhi
18-22,Rajasthan,161181,39,36,25,7,komal
22-28,Maharashtra,217054,34,38,28,10,mehta
60+,UP,190141,40,61,-1,64,jethalal
22-28,Kerala,180006,50,14,36,7,anjali
29-39,Rajasthan,91972,40,8,52,0,bhide
40-60,UP,113024,39,24,37,4,champaklal
40-60,Delhi,91707,24,3,73,0,popatlal
29-39,Rajasthan,91222,50,28,22,1,tapu
40-60,Bihar,108665,35,15,50,0,bhide
22-28,Delhi,265891,46,22,32,0,anjali
29-39,Rajasthan,141095,14,12,74,0,popatlal
22-28,UP,32186,43,36,21,8,bagha
60+,Goa,269506,30,49,21,12,iyer
40-60,Goa,270885,20,69,11,20,babita
18-22,Bihar,152167,50,22,28,3,champaklal
29-39,Karnataka,135192,40,48,12,3,iyer
18-22,Bihar,128361,40,31,29,13,anjali
29-39,Maharashtra,299431,48,13,39,11,iyer
40-60,Bihar,99655,50,15,35,4,bagha
40-60,Karnataka,255591,27,70,3,25,babita
40-60,UP,56370,43,27,30,12,tapu
18-22,Rajasthan,110476,40,14,46,0,bhide
18-22,Kerala,154118,37,24,39,9,iyer
40-60,UP,129594,30,45,25,10,anjali
29-39,Bihar,54610,23,-13,90,0,popatlal
22-28,Goa,125718,42,21,37,14,sodhi
18-22,Kerala,140950,27,67,6,21,babita
